Conductor,Diameter over,Diameter over,Outside,Copper ,Ampacity
Size,Insulation,Screen,Diameter,Neutral,UG Duct
AWG or kcmil,Inches,Inches,Inches,No. x AWG,Amps
FULL NEUTRAL,,,,,
2(7x),0.78,0.85,0.98,10 x 14,120
1(19x),0.81,0.89,1.02,13 x 14,135
1/0(19x),0.85,0.93,1.06,16 x 14,155
2/0(19x),0.9,0.97,1.13,13 x 12,175
3/0(19x),0.95,1.02,1.18,16 x 12,200
4/0(19x),1.01,1.08,1.28,13 x 10,230
250(37x),1.06,1.16,1.37,16 x 10,255
350(37x),1.17,1.27,1.47,20 x 10,300
1/3 NEUTRAL,,,,,
2(7x),0.78,0.85,0.98,6 x 14,135
1(19x),0.81,0.89,1.02,6 x 14,155
1/0(19x),0.85,0.93,1.06,6 x 14,175
2/0(19x),0.9,0.97,1.1,7 x 14,200
3/0(19x),0.95,1.02,1.15,9 x 14,230
4/0(19x),1.01,1.08,1.21,11 x 14,240
250(37x),1.06,1.16,1.29,13 x 14,260
350(37x),1.17,1.27,1.39,18 x 14,320
500(37x),1.29,1.39,1.56,16 x 12,385
750(61x),1.49,1.59,1.79,15 x 10,470
1000(61x),1.64,1.77,1.98,20 x 10,550
,,,,,
,,,,,
Tape Shielded 15 kV Cable,,,,,
Tape Thickness = 5 mils,,,,,
,,,,,
Conductor,Diameter over,Diameter over,Jacket,Outside,Ampacity in
Size,Insulation,Screen,Thickness,Diameter,UG Duct
AWG or kcmil,Inches,Inches,mils,Inches,Amps
Jan-00,0.82,0.88,80,1.06,165
Feb-00,0.87,0.93,80,1.1,190
Mar-00,0.91,0.97,80,1.16,215
Apr-00,0.96,1.02,80,1.21,245
250,1.01,1.08,80,1.27,270
350,1.11,1.18,80,1.37,330
500,1.22,1.3,80,1.49,400
750,1.4,1.48,110,1.73,490
1000,1.56,1.66,110,1.91,565